--sn-oklab-accent-rgb,9,yes
--sn-cosmic-secondary-rgb,9,yes
--sn-oklab-primary-rgb,8,yes
--sn-oklab-accent-luminance,8,yes
--sn-music-energy-level,6,yes
--sn-musical-oklab-primary-rgb,6,yes
--sn-easing-explorer,6,yes
--sn-oklab-highlight-rgb,5,yes
--sn-oklab-default-hue,4,yes
--sn-visual-effects-mobile-reduction,3,yes
--sn-transition-timing-default,3,yes
--sn-oklab-shadow-rgb,3,yes
--sn-musical-oklab-accent-rgb,3,yes
--sn-dynamic-accent-rgb,3,yes
--sn-cosmic-surface-rgb,3,yes
--sn-cosmic-base-rgb,3,yes
--sn-cosmic-accent-hex,3,yes
--sn-anim-easing-dynamic,3,yes
--sn-transition-standard-duration,2,yes
--sn-transition-slow-duration,2,yes
--sn-transition-fast-duration,2,yes
--sn-musical-oklab-shadow-rgb,2,yes
--sn-musical-oklab-highlight-rgb,2,yes
--sn-genre-rock-oklab-chroma-boost,2,yes
--sn-echo-skew,2,yes
--sn-echo-radius-multiplier,2,yes
--sn-echo-offset-y,2,yes
--sn-echo-offset-x,2,yes
--sn-echo-hue-shift,2,yes
--sn-cosmic-base-hex,2,yes
--sn-color-accent-rgb,2,yes
--sn-color-accent-hex,2,yes
--sn-brightness-dark-saturation,2,yes
--sn-brightness-dark-contrast,2,yes
--sn-brightness-dark-brightness,2,yes
--sn-anim-easing-bounce-smooth,2,yes
--sn-anim-easing-bounce-medium,2,yes
--sn-anim-breathing-energetic,2,yes
--sn-ui-glass-beat-opacity,1,yes
--sn-transition-fast,1,yes
--sn-music-rhythm-phase,1,yes
--sn-genre-rock-oklab-lightness-boost,1,yes
--sn-genre-electronic-oklab-lightness-boost,1,yes
--sn-genre-electronic-oklab-chroma-boost,1,yes
--sn-genre-classical-oklab-lightness-boost,1,yes
--sn-genre-classical-oklab-chroma-boost,1,yes
--sn-emotion-romantic-oklab-primary-rgb,1,yes
--sn-emotion-romantic-oklab-accent-rgb,1,yes
--sn-emotion-mysterious-oklab-primary-rgb,1,yes
--sn-emotion-mysterious-oklab-accent-rgb,1,yes
--sn-emotion-happy-oklab-primary-rgb,1,yes
--sn-emotion-happy-oklab-accent-rgb,1,yes
--sn-emotion-epic-oklab-primary-rgb,1,yes
--sn-emotion-epic-oklab-accent-rgb,1,yes
--sn-emotion-energetic-oklab-primary-rgb,1,yes
--sn-emotion-energetic-oklab-accent-rgb,1,yes
--sn-emotion-calm-oklab-primary-rgb,1,yes
--sn-emotion-calm-oklab-accent-rgb,1,yes
--sn-emotion-ambient-oklab-primary-rgb,1,yes
--sn-emotion-ambient-oklab-accent-rgb,1,yes
--sn-emotion-aggressive-oklab-primary-rgb,1,yes
--sn-emotion-aggressive-oklab-accent-rgb,1,yes
--sn-dynamic-primary-rgb,1,yes
--sn-dynamic-primary-hex,1,yes
--sn-dynamic-accent-hex,1,yes
--sn-cosmic-text-hex,1,yes
--sn-cosmic-surface-hex,1,yes
--sn-cosmic-secondary-hex,1,yes
--sn-color-harmony-complementary-rgb,1,yes
--sn-color-harmony-analogous-rgb,1,yes
--sn-brightness-dark-opacity,1,yes
--sn-brightness-bright-saturation,1,yes
--sn-brightness-bright-opacity,1,yes
--sn-brightness-bright-contrast,1,yes
--sn-brightness-bright-brightness,1,yes
--sn-brightness-balanced-saturation,1,yes
--sn-brightness-balanced-opacity,1,yes
--sn-brightness-balanced-contrast,1,yes
--sn-brightness-balanced-brightness,1,yes
--sn-bg-beat-pulse-intensity,1,yes
--sn-anim-transition-cosmic,1,yes
--sn-anim-musical-measure-duration,1,yes
--sn-anim-musical-beat-duration,1,yes
--sn-anim-easing-emergence,1,yes
--sn-anim-easing-bounce-strong,1,yes
--sn-anim-easing-bounce-playful,1,yes
--sn-anim-breathing-effects,1,yes
